Code,Description,Procedure_Category,Is_Top_Pareto
713106006,Screening for drug abuse (procedure),Assessment,false
714812005,Induced termination of pregnancy,General,false
715252007,Depression screening using Patient Health Questionnaire Nine Item score (procedure),Assessment,false
71651007,Mammography (procedure),General,true
73761001,Colonoscopy,General,true
74016001,Knee X-ray,General,false
76164006,Biopsy of colon,General,false
762998009,Assessment using New York Heart Association Classification (procedure),Assessment,false
763302001,Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure),Assessment,false
76601001,Intramuscular injection,General,true
76746007,Cardiovascular stress testing (procedure),General,false
80146002,Appendectomy,General,false
84478008,Occupational therapy (regime/therapy),General,false
85548006,Episiotomy,General,false
866148006,Screening for domestic abuse (procedure),Assessment,false
88039007,Transplant of lung (procedure),General,false
90226004,Cytopathology procedure preparation of smear genital source (procedure),General,false
90470006,Prostatectomy,General,false
91251008,Physical therapy procedure (regime/therapy),General,true
